department,description,brand,serving_size,protein_box,carb_box,milk_box,store_id
Cheese, Jarlsberg Light Swiss, Jarlsberg, 1 oz,1,0,0,
Cheese, Light String Cheese, Trader Joe's, 1 oz/1 stick,1,0,0,
Cheese, Lite Mild Cheddar snack sticks, Trader Joe's, 1 oz,1,0,0,
Cheese, Lite Mild Cheddar (block), Trader Joe's, 1 oz,1,0,0,
Cheese, Mini Babybel Light, Laughing Cow, 1 circle,1,0,0,
Cheese, Light (any flavor), Laughing Cow, 2 wedges,1,0,0,
Cheese, Ricotta/Fat Free, Trader Joe's, 1/4 cup,1,0,0,
Cheese, Feta/Fat Free, Trader Joe's, 1oz,1,0,0,
Dairy, Milk (1%), Trader Joe's, 1 cup,0,0,1,
Dairy, Almond Milk/Unsweetened, Trader Joe's, 1 cup,0,0,0,
Dairy, Organic Soy Milk Unsweetened, Trader Joe's, 1 cup,0,0,1,
Dairy, Total 0% Plain Greek Yogurt, Fage Yogurt, 3/4 cup (6 oz),2,0,0,
Dairy, Organic Greek Style Non-Fat Plain Yogurt, Trader Joe's, 3/4 cup (6 oz),2,0,0,
Dairy, Cottage Cheese/Fat-Free, Trader Joe's, 1/4 cup,1,0,0,
Dairy, Cottage Cheese/Low-Fat, Trader Joe's, 1/4 cup,1,0,0,
Eggs, Quick Whites, Papetti Foods, 1/4 c,1,0,0,
Eggs, Reddi Egg, Nulaid, 1/4 c,1,0,0,
Frozen Foods, Steamer Clams in Garlic Butter, Trader Joe's, 14 clams,1,0,0,
Frozen Foods, BBQ Chicken Terriyaki, Trader Joe's, 1 cup,2,1,0,
Frozen Foods, Asian Vegetables with Beijing Style Soy Sauce, Trader Joe's, 1 3/4 c,0.5,1,0,
Frozen Foods, Carne Asada, Trader Joe's, 3 oz,3,0,0,
Frozen Foods, Chicken Satay, Trader Joe's, 1/2 package,2,1,0,
Frozen Foods, Chile Lime Chicken Burger, Trader Joe's, 1 patty,2,0,0,
Frozen Foods, Cioppino Seafood Stew, Trader Joe's, 1 c,2,0.5,0,
Frozen Foods, Colosal Butterfield Shrimp, Trader Joe's, 3.5 oz,2,0,0,
Frozen Foods, Coq Au Vin, Trader Joe's, 1 1/4 c,3,1,0,
Frozen Foods, Grilled Chicken Burger Patties, Trader Joe's, 1 burger,2.5,0,0,
Frozen Foods, Just Grilled Chicken Strips, Trader Joe's, 3 oz,3,0,0,
